147it [1:43:11, 44.38s/it]0.054625936
148it [1:43:53, 43.40s/it]0.054544896
149it [1:45:04, 51.84s/it]0.054427985
150it [1:46:01, 53.23s/it]0.05444976
151it [1:46:30, 46.05s/it]0.054489665
152it [1:46:59, 41.05s/it]0.05446779
153it [1:47:28, 37.25s/it]0.054475494
154it [1:47:56, 34.65s/it]0.054623377
155it [1:48:40, 37.31s/it]0.05471681
156it [1:49:08, 34.65s/it]0.05478828
157it [1:49:38, 33.04s/it]0.05474563
158it [1:50:19, 35.67s/it]0.05460398
159it [1:50:49, 33.93s/it]0.054294787
160it [1:52:12, 48.56s/it]0.0542869
161it [1:52:43, 43.31s/it]0.054158524
162it [1:53:24, 42.54s/it]0.05405557
163it [1:54:36, 51.40s/it]0.054022353
164it [1:55:09, 45.85s/it]0.05400239
165it [1:55:53, 45.44s/it]0.053905286
166it [1:56:22, 40.56s/it]0.053854648
167it [1:57:12, 43.35s/it]0.05376453
168it [1:57:43, 39.61s/it]0.053673074
169it [1:58:13, 36.61s/it]0.053507056
170it [1:59:11, 43.05s/it]0.053392515
171it [1:59:42, 39.56s/it]0.052972835
172it [2:01:21, 57.32s/it]0.0529196
173it [2:01:52, 49.40s/it]0.052792616
174it [2:02:34, 47.35s/it]0.05270608
175it [2:03:21, 47.24s/it]0.05276926
176it [2:03:51, 42.07s/it]0.052777383
177it [2:04:25, 39.41s/it]0.052726664
178it [2:04:55, 36.76s/it]0.052676406
179it [2:05:29, 35.91s/it]0.052476916
180it [2:06:41, 46.64s/it]0.05227004
181it [2:07:54, 54.51s/it]0.05215752
182it [2:08:23, 46.95s/it]0.0520277
183it [2:09:04, 45.27s/it]0.051780622
184it [2:13:09, 105.16s/it]0.052073356
185it [2:15:04, 108.04s/it]0.051948298
186it [2:15:43, 87.44s/it] 0.05193485
187it [2:16:17, 71.17s/it]0.051853023
188it [2:16:46, 58.66s/it]0.051762562
189it [2:17:15, 49.87s/it]0.051632505
190it [2:17:53, 46.32s/it]0.05155559
191it [2:18:33, 44.22s/it]0.051474847
192it [2:19:05, 40.59s/it]0.05138546
193it [2:19:48, 41.20s/it]0.051290255
194it [2:20:28, 41.12s/it]0.051227357
195it [2:20:50, 35.30s/it]0.05119826
196it [2:21:33, 37.55s/it]0.051149312
